challenge,response
57A9DACF9A71EA46B12F9DF41A9A2CFB23B16C34242F0918667EF994E9A282B66B27F7816BC5C7AE03A315371CE99599FDD920FAF8758943D62E688196DB65680B,58FC7CB61FC44B764EE8F2629F7A26085CF9039E588EE44740DCD75C9BBDF990717440918B74A7D4EE9927E8046D79CD31988C11B0EDD76163F956F814AD6D49CAFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
57281D1F2F7F525EF8FC2A91B1110BFA4C4F23E07B6D001C77FDA93B244FC3A196A0B2DCF82A2486EF2ABDDA0B3FA2B016E394C6CD5560AB670976804FF61FE418,586084038700DA0A7E1FE5F2538FDD3C0CC91E4D398461E3455E232E3B172AC98D48CCD159844EFB2834E80D2D6A97EDA2735F6BD6439AA50C184D5B59B0EB3076FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
574C631A3FD290908F88E31B1CCFE55CFA629C58FA3C871AAC87E12F2E8BA194C7F5E08A4071327F35EDFA4FCEEBC7ACA09FD7D92B07DC1B4E645AA3EFC1C9FC92,58A97DBD07BF4656872AF10FCB5D19935CC41D405CB07EF49F3D17988B498770D8C082B896F8B3B3C2EE4C0080BA638A749D5F43EB82DC13B3F2B27F92A403C24FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
573B3B764A28D6AE81010ED6A8FE80C96CC89F930EAC577BFBB70C755032FBCDF5723343DEAF88C07D22F1684A854AF6AA91BD3BFF2BB542102D06F7E3D06818D4,582F4BED2FAD455E3B811B64F67E651F40A4FF2DE30FDD3E05B37931EE14C41C5AD4386CAAE58836C97133FC58DDD59152E2995C79E7B1178311D32AF69393D276FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
578971C21EB982686E7AF9EFF3D9639F6D50784F96912F98A038FEEB2E1ED0EC07B162A85297650EAA3714D34B95EF00AD8C7214C164BA437C956D2EA3D2A2BBB3,5895263F3AA6AFDBFD20C39173D019521C3DE5BD7FB158643811DAD486B349825FB494CB4B5E656767E32E5CF8304F2FDB88C5E773FD0D901EB5D508C98B8CD0A1FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
57BEBA845866BE2B98C7B9E704C855FCFC84F1500A408BA2BFFA41109E7BD64B0BA07FF7343D1DA869491B3622B83DD585BEA6D0CDE169037CB7E90BBD5C7B99BC,58E42DE26B0DF6D86ECC0D331CF2CAE402EF7DB06F8DA037DDC54C7FA339308A117911ED7BD42C8BB80F14CA0D52A88C15C599960068478B69A7E44AFF93D3F36EFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
57ABCE34D3C99B54C5DB151622EADE8FD1921F55E07492D138D2B7F64780AE98B51C06793D43E4935F4D2E810361B7026819A1276E4CDC81B97751200D85F69229,588AA8A275464EEBA8093BF9A2CB06C646CF8372CFB344F1A9DA32B76038CC8DD1231F8990AD8FD178A10A5157CA0182FDB822F163FF662A5605C71E079005ACF9FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
57D50770E51E02E26B00F869DA1FD0526CB6DA8EA8BDC5B8212031FF918FD5016F8DA5371CEB6CC09552637EC6ECBF5D3985258B2DBFA5A6EF25463B52073E8E87,581190FF80B21ECF02081B5F8CA8E98424A55E59C3098EB7D34B38D9F8F6705E3CC44CCC5F4B9CCD00EA74D0F5B1F70BB32CF11471F57A17BACFB89190ABE0B24FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
57C208F016DA4AEFCEE61E5CA2FC9004B67B4CC9C52E36C29AACDC12CCD8EE70794F73F807F24BAF7B9A45CF372D2D914C90E94CC2178F815F930AD4AB3ECC4CE9,584A5ECCC6689BB84FF751E3AA2A1EC5E267FBFB227A5CF2482EFF2D7BBE1E4924E90586D159DE395FB4CC0B4085E0B86A91D1507429C2457DF6AB0290F27429F3FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
570FA3D86794AFBC8A7EBA01E6608AB8305AB5BFF67878B8CBAEA8C51C2A46D2D7EE99263E2D259A2975F59C030DE9A777D053B8BBF7A6B3B36810308BBEF2CA94,58764C9D75BF14E5BE48EEAF739A6FAEE1E871AEC834AB3CC450463D3D4EF64576441F6751DC57B5D4DCAB1DE3392CABAB950C49BA862095CCC4717AEE3C06A2EFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
5730EC1BE305B637454CD3691633EB0C95E09DF036C768AFDE29FBED16369CFAA718C330CCD84E6B3A0D62133BF9DA251473691342962343C6210945AFC03D2B99,585AD285060CEDB7E696603E431F8E537DBF3BFC50D7ADD4813D1FA3621128A9CA6EE64C5A7E9F7E1F8CE324D7BE3E74A0BB61639FAC8DB65B83AD3C8EAAD1514DFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
57C38B96FF920EAF935D49DC3EB8C17208F7788747EDE678F029C37E524636412BE6856631B6E0F3F8BABBFDC1E12A57B6B966978F73394C954A35437D1A20849D,586CC898E6B3402E215022CA88BD923D6A41D27A7E12B8555B2FD3F12BF8B9047A65606903E178706CAFABD0A54E961287E72B10ABFF9872A9ABA50C5231771888FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
